pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
755020,Odisha,JAJPUR,1413,1233,216,1089,144,63,0
755022,Odisha,JAJPUR,28080,23352,3780,20820,2880,690,210
755023,Odisha,Dhenkanal,29028,27288,2964,21840,2784,752,0
755024,Odisha,JAJPUR,3156,3104,558,3726,294,78,0
755025,Odisha,JAJPUR,33050,25550,5775,27550,2850,850,25
755026,Odisha,Cuttack,12220,11520,2430,19158,996,420,6
755027,Odisha,JAJPUR,10296,11862,1377,8811,1026,135,9
755028,Odisha,JAJPUR,5994,9279,1089,6714,495,189,72
755031,Odisha,Jajapur,13,32,1,29,0,0,0
755032,Odisha,Jajapur,0,9,0,11,0,0,0
755033,Odisha,Jajapur,3,22,4,19,0,0,0
755036,Odisha,Bhadrak,12576,10704,1664,8384,1200,128,0
755037,Odisha,Jajapur,5,9,0,12,0,0,0
755039,Odisha,Jajapur,8,7,1,14,0,0,0
755041,0,0,0,0,0,1,0,0,0
755043,Odisha,JAJPUR,25410,21840,3600,20646,4080,1320,90
755044,Odisha,JAJPUR,4656,3528,540,3600,390,132,0
755045,Odisha,Jajapur,0,1,0,0,0,0,0
755046,Odisha,Jajapur,5,19,1,16,0,0,0
755047,Odisha,Jajapur,4,9,0,3,0,0,0
755049,Odisha,JAJPUR,4472,6392,384,1900,248,112,0
755050,Odisha,JAJPUR,1647,1422,117,819,144,36,0
755061,Odisha,Jajapur,4248,4876,714,3642,462,102,6
755062,Odisha,JAJPUR,0,2,0,1,0,0,0
756001,Odisha,Baleshwar,11241,11871,1062,9558,891,144,0
756002,Odisha,Baleshwar,17352,20079,2250,13050,1764,270,0
756003,Odisha,Baleshwar,19920,22512,2832,15504,1188,414,0
756018,Odisha,Baleshwar,270,144,72,198,63,18,0
756019,Odisha,Baleshwar,19890,17145,2763,16011,2142,567,0
756020,Odisha,Baleshwar,13905,17298,2241,11538,981,324,0
756021,Odisha,Baleshwar,8721,9612,1422,8361,702,198,0
756022,Odisha,Baleshwar,2352,2070,116,740,162,54,0
